sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
부산광역시,서구,46608,471.5,8781,17363,1895,0,17685,517,47198,9.1,0.09,0.01,0,0.01,0.11,월세,64.15790642,5093.198113,64.46981132
부산광역시,영도구,49823,535,10039,19874,1917,0,17189,371,50786,7.4,0.08,0,0,0.01,0.09,월세,63.56509193,3021.118616,52.08401977
부산광역시,부산진구,152433,1577.2,27893,61655,5532,0,53940,2281,156890,6.4,0.06,0,0,0.01,0.08,월세,51.15278452,3422.886625,52.83813539
부산광역시,동래구,103176,1319.6,20602,50065,4236,0,26743,605,105881,3.6,0.04,0,0,0.01,0.05,월세,65.44778221,6066.563034,64.96260684
부산광역시,남구,111594,1273.8,21736,49569,4506,0,33699,1247,110510,4.7,0.05,0,0,0.01,0.06,월세,67.98927367,5261.034525,80.04993835
부산광역시,북구,112242,1444.5,21508,55621,4140,0,29558,474,113022,3.1,0.03,0.01,0,0.01,0.04,월세,62.85350833,4625.356965,50.88059701
부산광역시,해운대구,156230,1932.7,30416,75239,5992,0,41982,1250,158408,2,0.02,0,0,0.01,0.03,월세,77.17539321,5652.666263,99.79812064
부산광역시,사하구,128548,1539.3,24972,59152,4705,0,37680,862,128228,4.5,0.05,0,0,0.01,0.06,월세,61.15136634,3095.95095,47.23911711
부산광역시,금정구,101294,1138.5,19517,41802,3596,0,34739,749,101726,5.7,0.06,0,0,0.01,0.08,월세,64.90020067,5475.649667,61.33592018
부산광역시,사상구,90171,1036.9,16555,40443,2936,0,28846,554,90556,7.5,0.08,0,0,0.02,0.1,월세,53.03337738,3917.285945,41.00969305
대구광역시,동구,139168,1680.3,27147,62701,5666,0,41593,768,141632,3.3,0.03,0,0,0.01,0.05,월세,65.0938204,3433.914853,55.52082019
대구광역시,서구,73980,804.3,14289,31363,3043,0,24341,282,74021,7.8,0.08,0,0,0.02,0.1,월세,72.63213017,2152.372881,67.18474576
대구광역시,북구,174696,2259.2,30293,84366,6091,0,51433,852,179418,4.1,0.05,0,0,0.01,0.06,월세,63.4285662,3022.749912,53.00706464
